Treatment,Quadrat,N1,C1,N2,C2,N3,C3,C2-C1 (%),C2-C1 (<10%),C3-C2 (%),C3-C2 (<10%),NAVE,CAVE
C,C3 Q1,0.32,4.45,0.35,4.81,,,8.1,1,,,0.34,4.63
C,C3 Q2,0.27,3.74,0.28,3.85,,,2.9,1,,,0.28,3.80
C,C3 Q3,0.27,3.76,0.3,3.93,,,4.5,1,,,0.29,3.85
C,C3 Q4,0.3,4.12,0.32,4.38,,,6.3,1,,,0.31,4.25
C,C3 Q5,0.29,4.05,0.31,4.26,,,5.2,1,,,0.30,4.16
D,D1 Q1,0.28,4.33,0.29,4.37,,,0.9,1,,,0.29,4.35
D,D1 Q2,0.27,3.94,0.28,3.98,,,1.0,1,,,0.28,3.96
D,D1 Q3,0.29,4.14,0.29,4.17,,,0.7,1,,,0.29,4.16
D,D1 Q4,0.29,4.06,0.27,3.99,,,-1.7,1,,,0.28,4.03
D,D1 Q5,0.29,4.08,0.29,4.1,,,0.5,1,,,0.29,4.09
D,D2 Q1,0.23,3.95,0.27,4.08,,,3.3,1,,,0.25,4.02
D,D2 Q2,0.22,3.72,0.21,3.7,,,-0.5,1,,,0.22,3.71
D,D2 Q3,0.26,4.21,0.27,4.21,,,0.0,1,,,0.27,4.21
D,D2 Q4,0.26,3.97,0.26,3.98,,,0.3,1,,,0.26,3.98
D,D2 Q5,0.28,4.07,0.3,4.15,,,2.0,1,,,0.29,4.11
D,D3 Q1,0.31,4.23,0.34,4.35,,,2.8,1,,,0.33,4.29
D,D3 Q2,0.35,4.94,0.34,4.97,,,0.6,1,,,0.35,4.96
D,D3 Q3,0.32,4.19,0.32,4.2,,,0.2,1,,,0.32,4.20
D,D3 Q4,0.3,4,0.32,4.07,,,1.8,1,,,0.31,4.04
D,D3 Q5,0.3,4.02,0.32,4.07,,,1.2,1,,,0.31,4.05
E,E1 Q1,0.32,4.53,0.34,4.57,,,0.9,1,,,0.33,4.55
E,E1 Q2,0.3,4.31,0.35,4.42,,,2.6,1,,,0.33,4.37
E,E1 Q3,0.29,4.36,0.33,4.4,,,0.9,1,,,0.31,4.38
E,E1 Q4,0.27,4.31,0.34,4.41,,,2.3,1,,,0.31,4.36
E,E1 Q5,0.31,5.37,0.38,5.3,,,-1.3,1,,,0.35,5.34
E,E2 Q1,0.25,4.18,0.3,4.25,,,1.7,1,,,0.28,4.22
E,E2 Q2,0.25,4.27,0.34,4.35,,,1.9,1,,,0.30,4.31
E,E2 Q3,0.23,4.1,0.32,4.23,,,3.2,1,,,0.28,4.17
E,E2 Q4,0.22,4,0.29,4.09,,,2.3,1,,,0.26,4.05
E,E2 Q5,0.21,3.89,0.31,4.06,,,4.4,1,,,0.26,3.98
E,E3 Q1,0.2,3.9,0.27,4.1,,,5.1,1,,,0.24,4.00
E,E3 Q2,0.19,3.95,0.29,4.19,,,6.1,1,,,0.24,4.07
E,E3 Q3,0.19,3.91,0.3,4.17,,,6.6,1,,,0.25,4.04
E,E3 Q4,0.19,3.9,0.32,4.26,,,9.2,1,,,0.26,4.08
E,E3 Q5,0.18,3.63,0.3,3.98,,,9.6,1,,,0.24,3.81
R,R1 Q1,0.17,3.98,0.31,4.37,0.3,4.26,9.8,1,-2.5,1,0.31,4.32
R,R1 Q2,0.17,3.89,0.32,4.51,0.31,4.39,15.9,0,-2.7,1,0.32,4.45
R,R1 Q3,0.17,4.11,0.37,5.08,0.34,4.75,23.6,0,-6.5,1,0.36,4.92
R,R1 Q4,0.16,3.69,0.33,4.4,0.29,4.1,19.2,0,-6.8,1,0.31,4.25
R,R1 Q5,0.17,3.71,0.34,4.51,0.33,4.26,21.6,0,-5.5,1,0.34,4.39
R,R2 Q1,0.16,3.34,0.33,4.23,0.32,4.25,26.6,0,0.5,1,0.33,4.24
R,R2 Q2,0.15,3.49,0.31,4.42,0.32,4.32,26.6,0,-2.3,1,0.32,4.37
R,R2 Q3,0.14,3.41,0.31,4.18,0.3,4.1,22.6,0,-1.9,1,0.31,4.14
R,R2 Q4,0.15,3.54,0.32,4.58,0.3,4.52,29.4,0,-1.3,1,0.31,4.55
R,R2 Q5,0.15,3.38,0.36,4.72,0.33,4.7,39.6,0,-0.4,1,0.35,4.71
R,R3 Q1,0.13,3.19,0.33,4.34,0.29,4.35,36.1,0,0.2,1,0.31,4.35
R,R3 Q2,0.14,3.21,0.33,4.46,0.32,4.41,38.9,0,-1.1,1,0.33,4.44
R,R3 Q3,0.15,3.16,0.34,4.8,0.35,4.71,51.9,0,-1.9,1,0.35,4.76
R,R3 Q4,0.14,2.87,0.29,4.31,0.3,4.07,50.2,0,-5.6,1,0.30,4.19
R,R3 Q5,0.15,3.12,0.28,4.57,0.35,4.46,46.5,0,-2.4,1,0.32,4.52
