"treatment","full.treatment.name","plot","quadrat","Herbaceous biomass","Herbaceous litter","Fine woody debris","Mixed species","Phalaris arundinacea","Humulus japonicus"
"B","Bareroot","2","Q1",0.555555555555556,517,414.888888888889,0.555555555555556,0,0
"B","Bareroot","2","Q2",0.777777777777778,525,2214.66666666667,0.777777777777778,0,0
"B","Bareroot","2","Q3",4.55555555555556,371.444444444444,405.777777777778,1.77777777777778,0,2.77777777777778
"B","Bareroot","2","Q4",9.22222222222222,553.666666666667,1206.88888888889,9.22222222222222,0,0
"B","Bareroot","2","Q5",7.33333333333333,400.222222222222,151.111111111111,7.33333333333333,0,0
"B","Bareroot","3","Q1",0.111111111111111,450.333333333333,2767.22222222222,0.111111111111111,0,0
"B","Bareroot","3","Q2",323.444444444444,433.222222222222,466.333333333333,114.555555555556,208.888888888889,0
"B","Bareroot","3","Q3",0,425.111111111111,1374,0,0,0
"B","Bareroot","3","Q4",0.222222222222222,337.555555555556,607.888888888889,0.222222222222222,0,0
"B","Bareroot","3","Q5",10.1111111111111,311.666666666667,0,10.1111111111111,0,0
"C","Seedling","1","Q1",70.5555555555556,201.666666666667,16.5555555555556,70.5555555555556,0,0
"C","Seedling","1","Q2",22.7777777777778,764.111111111111,160.555555555556,22.7777777777778,0,0
"C","Seedling","1","Q3",53.6666666666667,432.888888888889,144.444444444444,53.6666666666667,0,0
"C","Seedling","1","Q4",107.444444444444,280.222222222222,0,107.444444444444,0,0
"C","Seedling","1","Q5",0,322.111111111111,0,0,0,0
"C","Seedling","2","Q1",107.444444444444,349.888888888889,584.666666666667,107.444444444444,0,0
"C","Seedling","2","Q2",79.6666666666667,896.666666666667,1212.66666666667,79.6666666666667,0,0
"C","Seedling","2","Q3",4,527,389,4,0,0
"C","Seedling","2","Q4",113.111111111111,396.777777777778,580.111111111111,86.5555555555556,0,26.5555555555556
"C","Seedling","2","Q5",0.222222222222222,353.222222222222,44.1111111111111,0.222222222222222,0,0
"C","Seedling","3","Q1",0,721.333333333333,757.222222222222,0,0,0
"C","Seedling","3","Q2",0,438.222222222222,4.11111111111111,0,0,0
"C","Seedling","3","Q3",7.22222222222222,0,0,7.22222222222222,0,0
"C","Seedling","3","Q4",0,541.444444444444,1755,0,0,0
"C","Seedling","3","Q5",58,1147.55555555556,2058.33333333333,58,0,0
"D","Acorn","1","Q1",354.888888888889,306.666666666667,0,336.666666666667,0.222222222222222,18
"D","Acorn","1","Q2",46.2222222222222,465,22.2222222222222,16.1111111111111,24,6.11111111111111
"D","Acorn","1","Q3",106.777777777778,261.777777777778,88.8888888888889,106.777777777778,0,0
"D","Acorn","1","Q4",123,196.333333333333,0,123,0,0
"D","Acorn","1","Q5",91.7777777777778,543.777777777778,0,91.7777777777778,0,0
"D","Acorn","2","Q1",261.444444444444,706,0,0,0,261.444444444444
"D","Acorn","2","Q2",85.7777777777778,274.444444444444,0,0,0,85.7777777777778
"D","Acorn","2","Q3",312.444444444444,580.555555555556,0,0,33.4444444444444,279
"D","Acorn","2","Q4",72.3333333333333,305.888888888889,0,51.3333333333333,0,21
"D","Acorn","2","Q5",143,813.666666666667,113.444444444444,128.333333333333,0,14.6666666666667
"D","Acorn","3","Q1",69.3333333333333,924.111111111111,0,2.22222222222222,67.1111111111111,0
"D","Acorn","3","Q2",0,955.111111111111,58.1111111111111,0,0,0
"D","Acorn","3","Q3",3.33333333333333,930.888888888889,23.4444444444444,3.33333333333333,0,0
"D","Acorn","3","Q4",0,771.555555555555,62.4444444444444,0,0,0
"D","Acorn","3","Q5",0,957.888888888889,15.5555555555556,0,0,0
"E","Seedbank","1","Q1",449.666666666667,0,0,0,0,449.666666666667
"E","Seedbank","1","Q2",717.555555555556,0,0,0,0,717.555555555556
"E","Seedbank","1","Q3",618.555555555555,1057.55555555556,0,0,481.111111111111,137.444444444444
"E","Seedbank","1","Q4",723.777777777778,0,0,0,668.555555555556,55.2222222222222
"E","Seedbank","1","Q5",527.666666666667,0,0,40.4444444444444,487.222222222222,0
"E","Seedbank","2","Q1",187.888888888889,1439,0,9.88888888888889,22,156
"E","Seedbank","2","Q2",156.111111111111,891.666666666667,81.1111111111111,24.8888888888889,131.222222222222,0
"E","Seedbank","2","Q3",190.555555555556,826.777777777778,0,124.444444444444,10.2222222222222,55.8888888888889
"E","Seedbank","2","Q4",550.666666666667,391.777777777778,0,0,0,550.666666666667
"E","Seedbank","2","Q5",699.555555555556,488.222222222222,47.3333333333333,0,672.444444444445,27.1111111111111
"E","Seedbank","3","Q1",156.333333333333,2302,276.444444444444,0,156.333333333333,0
"E","Seedbank","3","Q2",171.666666666667,2307.88888888889,12.7777777777778,0.888888888888889,170.777777777778,0
"E","Seedbank","3","Q3",361.111111111111,459.222222222222,8.33333333333333,0,15,346.111111111111
"E","Seedbank","3","Q4",202.888888888889,1552.66666666667,21.7777777777778,120.777777777778,0,82.1111111111111
"E","Seedbank","3","Q5",162,1380.77777777778,531.666666666667,146,16,0
"R","Reference","1","Q1",108.888888888889,90.5555555555556,18.6666666666667,108.888888888889,0,0
"R","Reference","1","Q2",285.666666666667,130.333333333333,64.7777777777778,285.666666666667,0,0
"R","Reference","1","Q3",479.888888888889,124.333333333333,0,479.888888888889,0,0
"R","Reference","1","Q4",0,286.111111111111,2418.55555555556,0,0,0
"R","Reference","1","Q5",0,1204.44444444444,3529.66666666667,0,0,0
"R","Reference","2","Q1",106.666666666667,232.555555555556,74.5555555555556,106.666666666667,0,0
"R","Reference","2","Q2",246.666666666667,192.555555555556,1061.22222222222,246.666666666667,0,0
"R","Reference","2","Q3",439,129.888888888889,78.1111111111111,439,0,0
"R","Reference","2","Q4",62.7777777777778,591.111111111111,969.444444444444,62.7777777777778,0,0
"R","Reference","2","Q5",206.222222222222,425.222222222222,2443.11111111111,206.222222222222,0,0
"R","Reference","3","Q1",194.444444444444,269.777777777778,0,194.444444444444,0,0
"R","Reference","3","Q2",3.22222222222222,217.777777777778,591.888888888889,3.22222222222222,0,0
"R","Reference","3","Q3",1,462.777777777778,119.777777777778,1,0,0
"R","Reference","3","Q4",74.5555555555556,290,0,74.5555555555556,0,0
"R","Reference","3","Q5",179.222222222222,252.333333333333,0,179.222222222222,0,0
