"treatment","strip","plot","year","redo","full.treatment.name","spp","genus","species","dbh.cm","basal.area.m2"
"C",1,1,2022,"N","Seedling","Popdel","Populus","deltoides",89,0.622113885227119
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",14.8,0.0172033613710577
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",13.5,0.0143138815279185
"C",1,1,2022,"N","Seedling","Quebic","Quercus","bicolor",15.1,0.0179078635236252
"C",1,1,2022,"N","Seedling","Quebic","Quercus","bicolor",16.5,0.0213824649984955
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",8.4,0.0055417694409324
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",17.1,0.0229658276959048
"C",1,1,2022,"N","Seedling","Moralb","Morus","alba",7.2,0.00407150407905237
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",22.3,0.0390570652675917
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",13.4,0.0141026094219646
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",26.7,0.0559902496704407
"C",1,1,2022,"N","Seedling","Carill","Carya","illinoiensis",29.4,0.0678866756514218
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",53.8,0.227328786006411
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",22.3,0.0390570652675917
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",26,0.0530929158456675
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",26,0.0530929158456675
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",63.1,0.312714918136491
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",25.5,0.0510705155749191
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",14.1,0.0156145008865047
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",42.5,0.141862543263664
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",31.4,0.0774371173183348
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",57.8,0.262388960020473
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",29.3,0.0674256469295075
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",31.3,0.0769446726698846
"C",2,2,2022,"N","Seedling","Fraxpen","Fraxinus","pennsylvanica",10.1,0.00801184666481737
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",18.3,0.0263021990940171
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",20.6,0.0333291564619341
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",18.5,0.0268802521422777
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",28.3,0.0629017535083383
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",26.7,0.0559902496704407
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",22,0.0380132711084365
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",21.2,0.0352989350557349
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",37.4,0.109858353503381
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",42.1,0.139204755878727
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",35,0.0962112750161874
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",15.8,0.0196066797510539
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",39.6,0.123162998391334
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",30.2,0.0716314540945009
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",21,0.0346360590058275
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",15.8,0.0196066797510539
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",25.1,0.0494808696922026
"C",2,2,2022,"N","Seedling","Acesai","Acer","saccharinum",8.6,0.00580880481648753
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",44.4,0.154830252339519
"C",2,2,2023,"Y","Seedling","Fraxpen","Fraxinus","pennsylvanica",9.9,0.00769768739945839
"C",2,2,2023,"Y","Seedling","Fraxpen","Fraxinus","pennsylvanica",7.3,0.004185386812745
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",14.9,0.0174366246255867
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",22.5,0.0397607820219958
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",12.3,0.01188228881404
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",30.1,0.0711578590019722
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",40.7,0.130100420368624
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",33.3,0.0870920169409796
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",35.1,0.096761839128729
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",42.6,0.142530917100715
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",36.7,0.105784493229839
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",16,0.0201061929829747
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",21.3,0.0356327292751788
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",38.8,0.118236981110505
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",22.5,0.0397607820219958
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",27.1,0.057680426518072
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",29.6,0.0688134454842309
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",18.5,0.0268802521422777
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",19.7,0.0304805173232916
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",18.7,0.0274645883758454
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",23.6,0.0437435361085843
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",20.9,0.0343069771753639
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",54.6,0.234139758879394
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",31.2,0.0764537988177612
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",43.1,0.145896348230873
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",14.7,0.0169716689128555
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",25.9,0.0526852941988642
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",50.4,0.199503699873566
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",28,0.06157521601036
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",26.6,0.0555716324493499
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",27.3,0.0585349397198484
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",23.4,0.0430052618349907
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",51.3,0.206692449263143
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",53,0.220618344098343
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",28.2,0.0624580035460187
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",30.1,0.0711578590019722
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",35.3,0.0978676797427926
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",48.5,0.184745282985165
"C",2,2,2023,"Y","Seedling","Acesai","Acer","saccharinum",21.5,0.036305030103047
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",31.4,0.0774371173183348
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",46.9,0.172756965419066
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",20.6,0.0333291564619341
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",30.3,0.0721066199833563
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",13.5,0.0143138815279185
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",68.5,0.368528453220168
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",17.9,0.0251649425534176
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",47.5,0.177205460616549
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",16.5,0.0213824649984955
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",47.7,0.178700858719658
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",15.5,0.0188691908756237
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",33.5,0.0881413088872787
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",7.2,0.00407150407905237
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",33.7,0.0891968840188848
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",14.9,0.0174366246255867
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",40.5,0.128824933751266
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",13,0.0132732289614169
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",18.9,0.0280552077947202
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",86.9,0.593102062469381
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",26.3,0.0543252055640381
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",12.6,0.0124689812420979
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",11.9,0.0111220233918713
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",20.1,0.0317308711994203
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",26.3,0.0543252055640381
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",27,0.057255526111674
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",34.4,0.0929408770638004
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",28.8,0.065144065264838
"C",3,3,2022,"N","Seedling","Acesai","Acer","saccharinum",59.1,0.274324655909624
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",33.3,0.0870920169409796
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",16.7,0.0219039693789914
"C",3,3,2022,"N","Seedling","Carill","Carya","illinoiensis",33.3,0.0870920169409796
"D",1,1,2022,"N","Acorn","Quepal","Quercus","palustris",22.7,0.0404707819617071
"D",1,1,2022,"N","Acorn","Quepal","Quercus","palustris",17.3,0.0235061816323222
"D",1,1,2022,"N","Acorn","Quebic","Quercus","bicolor",26.4,0.0547391103961486
"D",1,1,2022,"N","Acorn","Quepal","Quercus","palustris",15.4,0.0186265028431339
"D",1,1,2022,"N","Acorn","Quepal","Quercus","palustris",29,0.0660519855417254
"D",1,1,2022,"N","Acorn","Salint","Salix","interior",9,0.00636172512351933
"D",1,1,2022,"N","Acorn","Salint","Salix","interior",8.1,0.00515299735005066
"D",1,1,2022,"N","Acorn","Salint","Salix","interior",9.8,0.00754296396126909
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",26.5,0.0551545860245858
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",25.7,0.0518747632942381
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",28.6,0.0642424281732577
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",21.3,0.0356327292751788
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",20.5,0.0330063578167778
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",20,0.0314159265358979
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",21.2,0.0352989350557349
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",17.2,0.0232352192659501
"D",2,2,2022,"N","Acorn","Acesai","Acer","saccharinum",71.2,0.398152886545356
"D",2,2,2022,"N","Acorn","Salnig","Salix","nigra",51.4,0.207499053176952
"D",2,2,2022,"N","Acorn","Moralb","Morus","alba",14.2,0.0158367685667461
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",20.9,0.0343069771753639
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",23.3,0.0426384808926841
"D",2,2,2022,"N","Acorn","Quepal","Quercus","palustris",19.6,0.0301718558450764
"D",2,3,2022,"N","Acorn","Quepal","Quercus","palustris",29.8,0.069746498502347
"D",2,3,2022,"N","Acorn","Quepal","Quercus","palustris",23.9,0.0448627284914256
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",13.5,0.0143138815279185
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",45.1,0.159750771833204
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",20.3,0.0323654729154454
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",19.9,0.0311025526687023
"D",2,3,2022,"N","Acorn","Quepal","Quercus","palustris",26.3,0.0543252055640381
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",15.6,0.0191134497044403
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",14.2,0.0158367685667461
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",18.9,0.0280552077947202
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",16.3,0.0208672438033068
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",19.6,0.0301718558450764
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",14.3,0.0160606070433144
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",11.5,0.0103868907109313
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",12.9,0.0130698108370969
"D",2,3,2022,"N","Acorn","Salnig","Salix","nigra",12,0.0113097335529233
"E",1,1,2022,"N","Seedbank","Salnig","Salix","nigra",38,0.113411494794592
"E",1,1,2022,"N","Seedbank","Salnig","Salix","nigra",27.9,0.0611361784370208
"E",1,1,2022,"N","Seedbank","Salnig","Salix","nigra",40,0.125663706143592
"E",1,1,2022,"N","Seedbank","Salnig","Salix","nigra",27.3,0.0585349397198484
"E",2,2,2022,"N","Seedbank","Fraxpen","Fraxinus","pennsylvanica",21.3,0.0356327292751788
"E",2,2,2022,"N","Seedbank","Fraxpen","Fraxinus","pennsylvanica",17.3,0.0235061816323222
"E",2,2,2022,"N","Seedbank","Fraxpen","Fraxinus","pennsylvanica",47.5,0.177205460616549
"E",3,3,2022,"N","Seedbank","Acesai","Acer","saccharinum",10,0.00785398163397448
"E",3,3,2022,"N","Seedbank","Acesai","Acer","saccharinum",7,0.0038484510006475
"E",3,3,2022,"N","Seedbank","Acesai","Acer","saccharinum",38.7,0.117628297533872
"E",3,3,2022,"N","Seedbank","Acesai","Acer","saccharinum",36.2,0.102921716924255
"E",3,3,2022,"N","Seedbank","Acesai","Acer","saccharinum",40.2,0.126923484797681
"E",3,3,2022,"N","Seedbank","Salnig","Salix","nigra",20.5,0.0330063578167778
"E",3,3,2022,"N","Seedbank","Salnig","Salix","nigra",21.9,0.037668481314705
"R",1,1,2022,"N","Reference","Ulmame","Ulmus","americana",17.5,0.0240528187540468
"R",1,1,2022,"N","Reference","Celocc","Celtis","occidentalis",28.7,0.0646924613208844
"R",1,1,2022,"N","Reference","Ulmame","Ulmus","americana",25.6,0.0514718540364152
"R",1,1,2022,"N","Reference","Celocc","Celtis","occidentalis",19.1,0.0286521103989023
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",37,0.107521008569111
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",43.9,0.15136271944812
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",58.4,0.26786475601568
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",61.2,0.294166169711534
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",23.9,0.0448627284914256
