Date,Treatment_Plot,Quadrat,Cover class,Spp,Notes
9/16/2022,A3,Q3,2,Persicaria punctata,
9/16/2022,A3,Q3,2,Woody debris,
9/16/2022,A3,Q3,1,Vitis riparia,
9/16/2022,A3,Q3,1,Toxicodendron radicans,
9/16/2022,A3,Q3,1,Galium aparine,
9/16/2022,A3,Q3,1,Boehmeria cylindrica,
9/16/2022,A3,Q3,1,Carex spp.,
9/16/2022,A3,Q3,1,Symphyotrichum ontarionis,
9/16/2022,A3,Q3,<1,Acer saccharinum,
9/16/2022,A3,Q3,<1,Sicyos angulatus,
9/16/2022,A3,Q4,2,Toxicodendron radicans,
9/16/2022,A3,Q4,1,Trifolium repens,"Best guess, previously listed as unknown clover"
9/16/2022,A3,Q4,1,Galium aparine,
9/16/2022,A3,Q4,1,Morus alba,
9/16/2022,A3,Q4,<1,Acer saccharinum,
9/16/2022,A3,Q4,1,Persicaria punctata,
9/16/2022,A3,Q4,1,Packera glabella,
9/16/2022,A3,Q4,1,Acalypha rhomboidea,
9/16/2022,A3,Q4,1,Symphyotrichum ontarionis,
9/16/2022,A3,Q5,4,Bareground,
9/16/2022,A3,Q5,2,Symphyotrichum ontarionis,
9/16/2022,A3,Q5,1,Morus alba,
9/16/2022,A3,Q5,1,Vitis riparia,
9/16/2022,A3,Q5,1,Woody debris,
9/16/2022,A3,Q5,1,Taraxacum officinale,
9/16/2022,A3,Q5,1,Ulmus americana,
9/16/2022,A3,Q5,<1,Sicyos angulatus,
9/16/2022,A3,Q5,<1,Packera glabella,
9/16/2022,A3,Q5,<1,Pilea pumila,
9/8/2022,B1,Q1,5,Humulus japonicus,
9/8/2022,B1,Q1,1,Woody debris,
9/8/2022,B1,Q1,1,Pilea pumila,
9/8/2022,B1,Q1,1,Phalaris arundinacea,
9/8/2022,B1,Q2,5,Humulus japonicus,
9/8/2022,B1,Q2,3,Woody debris,
9/8/2022,B1,Q2,1,Persicaria punctata,
9/8/2022,B1,Q2,1,Sicyos angulatus,
9/8/2022,B1,Q2,1,Boehmeria cylindrica,
9/8/2022,B1,Q3,2,Pilea pumila,
9/8/2022,B1,Q3,2,Woody debris,
9/8/2022,B1,Q3,1,Toxicodendron radicans,
9/8/2022,B1,Q3,1,Ageratina altissima,
9/8/2022,B1,Q3,1,Sicyos angulatus,
9/8/2022,B1,Q3,1,Galium aparine,
9/8/2022,B1,Q3,1,Persicaria punctata,
9/8/2022,B1,Q4,4,Urtica gracilis,
9/8/2022,B1,Q4,2,Toxicodendron radicans,
9/8/2022,B1,Q4,2,Acer saccharinum,
9/8/2022,B1,Q4,2,Pilea pumila,
9/8/2022,B1,Q4,2,Woody debris,
9/8/2022,B1,Q5,5,Humulus japonicus,
9/8/2022,B1,Q5,2,Urtica gracilis,
9/8/2022,B1,Q5,2,Phalaris arundinacea,
9/8/2022,B1,Q5,1,Woody debris,
9/17/2022,B2,Q1,3,Woody debris,
9/17/2022,B2,Q1,3,Bareground,
9/17/2022,B2,Q1,2,Galium aparine,
9/17/2022,B2,Q1,<1,Smilax tamnoides,
9/17/2022,B2,Q2,4,Woody debris,
9/17/2022,B2,Q2,3,Bareground,
9/17/2022,B2,Q2,1,Galium aparine,
9/17/2022,B2,Q3,2,Pilea pumila,
9/17/2022,B2,Q3,2,Galium aparine,
9/17/2022,B2,Q3,2,Woody debris,
9/17/2022,B2,Q3,1,Toxicodendron radicans,
9/17/2022,B2,Q3,1,Humulus japonicus,
9/17/2022,B2,Q3,1,Vitis riparia,
9/17/2022,B2,Q3,1,Laportea canadensis,
9/17/2022,B2,Q3,1,Bareground,
9/17/2022,B2,Q4,4,Woody debris,
9/17/2022,B2,Q4,2,Laportea canadensis,
9/17/2022,B2,Q4,1,Sicyos angulatus,
9/17/2022,B2,Q4,1,Pilea pumila,
9/17/2022,B2,Q4,1,Galium aparine,
9/17/2022,B2,Q4,1,Persicaria punctata,
9/17/2022,B2,Q4,1,Morus alba,
9/17/2022,B2,Q4,1,Impatiens capensis,
9/17/2022,B2,Q4,1,Acalypha rhomboidea,
9/17/2022,B2,Q4,1,Bareground,
9/17/2022,B2,Q5,4,Galium aparine,
9/17/2022,B2,Q5,2,Woody debris,
9/17/2022,B2,Q5,2,Bareground,
9/17/2022,B2,Q5,1,Vitis riparia,
9/17/2022,B3,Q1,4,Woody debris,
9/17/2022,B3,Q1,3,Bareground,
9/17/2022,B3,Q1,<1,Galium aparine,
9/17/2022,B3,Q2,3,Woody debris,
9/17/2022,B3,Q2,3,Bareground,
9/17/2022,B3,Q2,2,Carex grayi,
9/17/2022,B3,Q2,1,Pilea pumila,
9/17/2022,B3,Q2,1,Galium aparine,
9/17/2022,B3,Q2,1,Persicaria punctata,
9/17/2022,B3,Q2,1,Acer saccharinum,
9/17/2022,B3,Q2,1,Morus alba,
9/17/2022,B3,Q3,2,Pilea pumila,
9/17/2022,B3,Q3,2,Woody debris,
9/17/2022,B3,Q3,2,Bareground,
9/17/2022,B3,Q3,1,Galium aparine,
9/17/2022,B3,Q3,1,Sicyos angulatus,
9/17/2022,B3,Q3,1,Vitis riparia,
9/17/2022,B3,Q3,1,Morus alba,
9/17/2022,B3,Q3,1,Toxicodendron radicans,
9/17/2022,B3,Q4,4,Pilea pumila,
9/17/2022,B3,Q4,2,Woody debris,
9/17/2022,B3,Q4,2,Bareground,
9/17/2022,B3,Q4,1,Galium aparine,
9/17/2022,B3,Q4,1,Sicyos angulatus,
9/17/2022,B3,Q4,1,Parthenocissus quinquefolia,
9/17/2022,B3,Q4,1,Chaerophyllum procumbens,
9/17/2022,B3,Q4,<1,Packera glabella,
9/17/2022,B3,Q5,2,Vitis riparia,
9/17/2022,B3,Q5,2,Packera glabella,
9/17/2022,B3,Q5,1,Pilea pumila,
9/17/2022,B3,Q5,1,Morus alba,
9/8/2022,C1,Q1,3,Elymus virginicus,
9/8/2022,C1,Q1,2,Pilea pumila,
9/8/2022,C1,Q1,2,Urtica gracilis,
9/8/2022,C1,Q1,1,Acer saccharinum,
9/8/2022,C1,Q1,1,Boehmeria cylindrica,
9/8/2022,C1,Q1,1,Persicaria punctata,
9/8/2022,C1,Q1,1,Celtis occidentalis,
9/8/2022,C1,Q1,1,Phalaris arundinacea,
9/8/2022,C1,Q1,1,Woody debris,
9/8/2022,C1,Q2,3,Symphyotrichum ontarionis,
9/8/2022,C1,Q2,2,Persicaria punctata,
9/8/2022,C1,Q2,2,Laportea canadensis,
9/8/2022,C1,Q2,2,Morus alba,
9/8/2022,C1,Q2,2,Woody debris,
9/8/2022,C1,Q2,1,Leersia virginica,
9/8/2022,C1,Q2,1,Toxicodendron radicans,
9/8/2022,C1,Q2,1,Vitis riparia,
9/8/2022,C1,Q2,1,Ulmus americana,
9/8/2022,C1,Q3,3,Persicaria punctata,
9/8/2022,C1,Q3,2,Elymus virginicus,
9/8/2022,C1,Q3,2,Boehmeria cylindrica,
9/8/2022,C1,Q3,2,Impatiens capensis,
9/8/2022,C1,Q3,2,Morus alba,
9/8/2022,C1,Q3,1,Pilea pumila,
9/8/2022,C1,Q3,1,Vitis riparia,
9/8/2022,C1,Q3,1,Toxicodendron radicans,
9/8/2022,C1,Q3,1,Woody debris,
9/8/2022,C1,Q4,5,Pilea pumila,
9/8/2022,C1,Q4,1,Bidens frondosa,
9/8/2022,C1,Q4,1,Symphyotrichum ontarionis,
9/8/2022,C1,Q4,0,Woody debris,
9/8/2022,C1,Q5,2,Pilea pumila,
9/8/2022,C1,Q5,2,Persicaria punctata,
9/8/2022,C1,Q5,2,Woody debris,
9/8/2022,C1,Q5,1,Galium aparine,
9/17/2022,C2,Q1,4,Bareground,
9/17/2022,C2,Q1,3,Woody debris,
9/17/2022,C2,Q1,2,Symphyotrichum ontarionis,
9/17/2022,C2,Q1,1,Sicyos angulatus,
9/17/2022,C2,Q1,1,Toxicodendron radicans,
9/17/2022,C2,Q1,1,Galium aparine,
9/17/2022,C2,Q1,<1,Vitis riparia,
9/17/2022,C2,Q2,2,Laportea canadensis,
9/17/2022,C2,Q2,2,Persicaria punctata,
9/17/2022,C2,Q2,2,Toxicodendron radicans,
9/17/2022,C2,Q2,2,Symphyotrichum ontarionis,
9/17/2022,C2,Q2,2,Woody debris,
9/17/2022,C2,Q2,2,Bareground,
9/17/2022,C2,Q2,1,Boehmeria cylindrica,
9/17/2022,C2,Q2,1,Humulus japonicus,
9/17/2022,C2,Q2,1,Pilea pumila,
9/17/2022,C2,Q2,1,Scutellaria lateriflora,
9/17/2022,C2,Q2,1,Ulmus americana,
9/17/2022,C2,Q3,3,Bareground,
9/17/2022,C2,Q3,1,Persicaria punctata,
9/17/2022,C2,Q3,1,Morus alba,
9/17/2022,C2,Q3,1,Ulmus americana,
9/17/2022,C2,Q3,1,Toxicodendron radicans,
9/17/2022,C2,Q3,1,Galium aparine,
9/17/2022,C2,Q3,<1,Vitis riparia,
9/17/2022,C2,Q3,1,Woody debris,
9/17/2022,C2,Q4,4,Bareground,
9/17/2022,C2,Q4,3,Galium aparine,
9/17/2022,C2,Q4,2,Woody debris,
9/17/2022,C2,Q4,1,Toxicodendron radicans,
9/17/2022,C2,Q4,1,Persicaria punctata,
9/17/2022,C2,Q4,1,Ulmus americana,
9/17/2022,C2,Q4,1,Leersia oryzoides,
9/17/2022,C2,Q5,4,Woody debris,
9/17/2022,C2,Q5,2,Bareground,
9/17/2022,C2,Q5,1,Toxicodendron radicans,
9/17/2022,C2,Q5,1,Galium aparine,
9/17/2022,C3,Q1,3,Woody debris,
9/17/2022,C3,Q1,2,Bareground,
9/17/2022,C3,Q1,1,Toxicodendron radicans,
9/17/2022,C3,Q1,1,Vitis riparia,
9/17/2022,C3,Q2,3,Bareground,
9/17/2022,C3,Q2,2,Woody debris,
9/17/2022,C3,Q2,1,Toxicodendron radicans,
9/17/2022,C3,Q2,1,Galium aparine,
9/17/2022,C3,Q2,1,Ulmus americana,
9/17/2022,C3,Q2,<1,Phytolacca americana,
9/17/2022,C3,Q3,5,Woody debris,
9/17/2022,C3,Q3,2,Parthenocissus quinquefolia,
9/17/2022,C3,Q3,2,Bareground,
9/17/2022,C3,Q3,1,Galium aparine,
9/17/2022,C3,Q3,1,Impatiens capensis,
9/17/2022,C3,Q4,3,Woody debris,
9/17/2022,C3,Q4,2,Bareground,
9/17/2022,C3,Q4,1,Toxicodendron radicans,
9/17/2022,C3,Q4,1,Acer saccharinum,
9/17/2022,C3,Q4,1,Impatiens capensis,
9/17/2022,C3,Q4,1,Galium aparine,
9/17/2022,C3,Q4,<1,Quercus palustris,
9/17/2022,C3,Q5,3,Sicyos angulatus,
9/17/2022,C3,Q5,3,Symphyotrichum ontarionis,
9/17/2022,C3,Q5,2,Woody debris,
9/17/2022,C3,Q5,2,Bareground,
9/17/2022,C3,Q5,1,Acer saccharinum,
9/17/2022,C3,Q5,1,Pilea pumila,
9/17/2022,C3,Q5,1,Toxicodendron radicans,
9/17/2022,C3,Q5,1,Persicaria punctata,
9/17/2022,C3,Q5,<1,Galium aparine,
9/16/2022,D1,Q1,5,Bareground,
9/16/2022,D1,Q1,2,Pilea pumila,
9/16/2022,D1,Q1,1,Humulus japonicus,
9/16/2022,D1,Q1,1,Galium aparine,
9/16/2022,D1,Q1,<1,Phalaris arundinacea,
9/16/2022,D1,Q1,<1,Vitis riparia,
9/16/2022,D1,Q1,0,Woody debris,
9/16/2022,D1,Q2,2,Laportea canadensis,
9/16/2022,D1,Q2,2,Sicyos angulatus,
9/16/2022,D1,Q2,2,Phalaris arundinacea,
9/16/2022,D1,Q2,1,Humulus japonicus,
9/16/2022,D1,Q2,1,Persicaria punctata,
9/16/2022,D1,Q2,1,Bareground,
9/16/2022,D1,Q2,1,Leersia oryzoides,
9/16/2022,D1,Q2,<1,Morus alba,
9/16/2022,D1,Q2,0,Woody debris,
9/16/2022,D1,Q3,4,Pilea pumila,
9/16/2022,D1,Q3,2,Bareground,
9/16/2022,D1,Q3,1,Sicyos angulatus,
9/16/2022,D1,Q3,1,Ulmus americana,
9/16/2022,D1,Q3,1,Ageratina altissima,
9/16/2022,D1,Q3,<1,Phalaris arundinacea,
9/16/2022,D1,Q3,1,Parthenocissus quinquefolia,
9/16/2022,D1,Q3,1,Carya illinoinensis,
9/16/2022,D1,Q3,0,Woody debris,
9/17/2022,D1,Q4,3,Bareground,
9/17/2022,D1,Q4,2,Pilea pumila,
9/17/2022,D1,Q4,2,Persicaria punctata,
9/17/2022,D1,Q4,2,Boehmeria cylindrica,
9/17/2022,D1,Q4,1,Bidens frondosa,
9/17/2022,D1,Q4,<1,Vitis riparia,
9/17/2022,D1,Q4,0,Woody debris,
9/17/2022,D1,Q5,2,Sicyos angulatus,
9/17/2022,D1,Q5,2,Leersia virginica,
9/17/2022,D1,Q5,1,Persicaria punctata,
9/17/2022,D1,Q5,1,Pilea pumila,
9/17/2022,D1,Q5,1,Morus alba,
9/17/2022,D1,Q5,1,Bareground,
9/17/2022,D1,Q5,1,Woody debris,
9/17/2022,D1,Q5,1,Leersia oryzoides,
9/17/2022,D1,Q5,<1,Acer saccharinum,
9/17/2022,D2,Q1,6,Humulus japonicus,
9/17/2022,D2,Q1,1,Urtica gracilis,
9/17/2022,D2,Q1,0,Woody debris,
9/17/2022,D2,Q1,0,Bareground,
9/17/2022,D2,Q2,5,Humulus japonicus,
9/17/2022,D2,Q2,1,Bareground,
9/17/2022,D2,Q2,0,Woody debris,
9/17/2022,D2,Q3,6,Humulus japonicus,
9/17/2022,D2,Q3,<1,Phalaris arundinacea,
9/17/2022,D2,Q3,0,Woody debris,
9/17/2022,D2,Q3,0,Bareground,
9/17/2022,D2,Q4,2,Pilea pumila,
9/17/2022,D2,Q4,2,Humulus japonicus,
9/17/2022,D2,Q4,1,Galium aparine,
9/17/2022,D2,Q4,<1,Persicaria punctata,
9/17/2022,D2,Q4,1,Cryptotaenia canadensis,
9/17/2022,D2,Q4,1,Bareground,
9/17/2022,D2,Q4,0,Woody debris,
9/17/2022,D2,Q5,2,Pilea pumila,
9/17/2022,D2,Q5,2,Humulus japonicus,
9/17/2022,D2,Q5,2,Sicyos angulatus,
9/17/2022,D2,Q5,2,Laportea canadensis,
9/17/2022,D2,Q5,1,Bidens frondosa,
9/17/2022,D2,Q5,1,Acer saccharinum,
9/17/2022,D2,Q5,1,Morus alba,
9/17/2022,D2,Q5,<1,Leersia virginica,
9/17/2022,D2,Q5,1,Bareground,
9/17/2022,D2,Q5,1,Woody debris,
9/17/2022,D2,Q5,1,Ageratina altissima,
9/17/2022,D3,Q1,4,Phalaris arundinacea,
9/17/2022,D3,Q1,1,Pilea pumila,
9/17/2022,D3,Q1,1,Sicyos angulatus,
9/17/2022,D3,Q1,1,Woody debris,
9/17/2022,D3,Q1,1,Bareground,
9/17/2022,D3,Q2,3,Phalaris arundinacea,
9/17/2022,D3,Q2,1,Sicyos angulatus,
9/17/2022,D3,Q2,1,Woody debris,
9/17/2022,D3,Q2,0,Bareground,
9/17/2022,D3,Q3,2,Sicyos angulatus,
9/17/2022,D3,Q3,2,Morus alba,
9/17/2022,D3,Q3,2,Woody debris,
9/17/2022,D3,Q3,2,Bareground,
9/17/2022,D3,Q4,5,Phalaris arundinacea,
9/17/2022,D3,Q4,1,Abutilon theophrasti,
9/17/2022,D3,Q4,1,Symphyotrichum lanceolatum,
9/17/2022,D3,Q5,2,Morus alba,
9/17/2022,D3,Q5,2,Cryptotaenia canadensis,
9/17/2022,D3,Q5,1,Sicyos angulatus,
9/17/2022,D3,Q5,1,Acer saccharinum,
9/17/2022,D3,Q5,0,Woody debris,
9/17/2022,D3,Q5,0,Bareground,
9/8/2022,E1,Q1,6,Humulus japonicus,
9/8/2022,E1,Q1,1,Phalaris arundinacea,
9/8/2022,E1,Q1,1,Woody debris,
9/8/2022,E1,Q2,6,Humulus japonicus,
9/8/2022,E1,Q2,1,Phalaris arundinacea,
9/8/2022,E1,Q2,0,Woody debris,
9/8/2022,E1,Q3,4,Phalaris arundinacea,
9/8/2022,E1,Q3,3,Humulus japonicus,
9/8/2022,E1,Q3,0,Woody debris,
9/8/2022,E1,Q4,4,Humulus japonicus,
9/8/2022,E1,Q4,4,Phalaris arundinacea,
9/8/2022,E1,Q4,0,Woody debris,
9/8/2022,E1,Q5,5,Phalaris arundinacea,
9/8/2022,E1,Q5,3,Sicyos angulatus,
9/8/2022,E1,Q5,1,Woody debris,
9/16/2022,E2,Q1,4,Humulus japonicus,
9/16/2022,E2,Q1,2,Phalaris arundinacea,
9/16/2022,E2,Q1,1,Sicyos angulatus,
9/16/2022,E2,Q1,0,Woody debris,
9/16/2022,E2,Q1,0,Bareground,
9/16/2022,E2,Q2,4,Phalaris arundinacea,
9/16/2022,E2,Q2,3,Sicyos angulatus,
9/16/2022,E2,Q2,<1,Persicaria punctata,
9/16/2022,E2,Q2,0,Woody debris,
9/16/2022,E2,Q2,0,Bareground,
9/16/2022,E2,Q3,3,Humulus japonicus,
9/16/2022,E2,Q3,3,Sicyos angulatus,
9/16/2022,E2,Q3,2,Bareground,
9/16/2022,E2,Q3,<1,Phalaris arundinacea,
9/16/2022,E2,Q3,0,Woody debris,
9/16/2022,E2,Q4,6,Humulus japonicus,
9/16/2022,E2,Q4,0,Woody debris,
9/16/2022,E2,Q4,0,Bareground,
9/16/2022,E2,Q5,4,Phalaris arundinacea,
9/16/2022,E2,Q5,2,Humulus japonicus,
9/16/2022,E2,Q5,0,Woody debris,
9/16/2022,E2,Q5,0,Bareground,
9/17/2022,E3,Q1,6,Phalaris arundinacea,
9/17/2022,E3,Q1,1,Pilea pumila,
9/17/2022,E3,Q1,0,Woody debris,
9/17/2022,E3,Q1,0,Bareground,
9/17/2022,E3,Q2,5,Phalaris arundinacea,
9/17/2022,E3,Q2,1,Morus alba,
9/17/2022,E3,Q2,1,Persicaria pensylvanica,
9/17/2022,E3,Q2,1,Pilea pumila,
9/17/2022,E3,Q2,0,Woody debris,
9/17/2022,E3,Q2,0,Bareground,
9/17/2022,E3,Q3,6,Humulus japonicus,
9/17/2022,E3,Q3,2,Persicaria pensylvanica,
9/17/2022,E3,Q3,1,Phalaris arundinacea,
9/17/2022,E3,Q3,0,Woody debris,
9/17/2022,E3,Q3,0,Bareground,
9/17/2022,E3,Q4,3,Persicaria pensylvanica,
9/17/2022,E3,Q4,3,Humulus japonicus,
9/17/2022,E3,Q4,1,Sicyos angulatus,
9/17/2022,E3,Q4,1,Amaranthus tuberculatus,
9/17/2022,E3,Q4,1,Bareground,
9/17/2022,E3,Q4,0,Woody debris,
9/17/2022,E3,Q5,4,Persicaria pensylvanica,
9/17/2022,E3,Q5,1,Phalaris arundinacea,
9/17/2022,E3,Q5,1,Sicyos angulatus,
9/17/2022,E3,Q5,1,Solanum ptychanthum,
9/17/2022,E3,Q5,0,Woody debris,
9/17/2022,E3,Q5,0,Bareground,
9/8/2022,R1,Q1,4,Pilea pumila,
9/8/2022,R1,Q1,2,Sicyos angulatus,
9/8/2022,R1,Q1,2,Carex grisea,
9/8/2022,R1,Q1,1,Stachys palustris,
9/8/2022,R1,Q1,1,Celtis occidentalis,
9/8/2022,R1,Q1,1,Smilax tamnoides,
9/8/2022,R1,Q1,1,Woody debris,
9/8/2022,R1,Q2,4,Sicyos angulatus,
9/8/2022,R1,Q2,3,Carex grisea,
9/8/2022,R1,Q2,2,Pilea pumila,
9/8/2022,R1,Q2,2,Phytolacca americana,
9/8/2022,R1,Q2,1,Symphyotrichum ontarionis,
9/8/2022,R1,Q2,1,Ranunculus septentrionalis,
9/8/2022,R1,Q2,1,Woody debris,
9/8/2022,R1,Q3,4,Urtica gracilis,
9/8/2022,R1,Q3,3,Pilea pumila,
9/8/2022,R1,Q3,2,Bidens frondosa,
9/8/2022,R1,Q3,2,Leersia virginica,
9/8/2022,R1,Q3,1,Stachys palustris,
9/8/2022,R1,Q3,1,Vitis riparia,
9/8/2022,R1,Q3,1,Viola sororia,
9/8/2022,R1,Q4,4,Woody debris,
9/8/2022,R1,Q4,1,Persicaria punctata,
9/8/2022,R1,Q4,1,Pilea pumila,
9/8/2022,R1,Q4,1,Ulmus americana,
9/8/2022,R1,Q4,1,Galium aparine,
9/8/2022,R1,Q5,5,Woody debris,
9/8/2022,R1,Q5,1,Sicyos angulatus,
9/8/2022,R1,Q5,1,Pilea pumila,
9/8/2022,R1,Q5,1,Gleditsia triacanthos,
9/8/2022,R2,Q1,3,Bidens frondosa,
9/8/2022,R2,Q1,2,Sicyos angulatus,
9/8/2022,R2,Q1,2,Pilea pumila,
9/8/2022,R2,Q1,2,Morus alba,
9/8/2022,R2,Q1,1,Symphyotrichum ontarionis,
9/8/2022,R2,Q1,1,Acer saccharinum,
9/8/2022,R2,Q1,1,Woody debris,
9/8/2022,R2,Q2,3,Sicyos angulatus,
9/8/2022,R2,Q2,3,Pilea pumila,
9/8/2022,R2,Q2,3,Ambrosia trifida,
9/8/2022,R2,Q2,2,Bidens frondosa,
9/8/2022,R2,Q2,1,Stachys palustris,
9/8/2022,R2,Q2,1,Vitis riparia,
9/8/2022,R2,Q2,1,Acalypha rhomboidea,
9/8/2022,R2,Q2,1,Symphyotrichum ontarionis,
9/8/2022,R2,Q2,1,Leersia oryzoides,
9/8/2022,R2,Q2,1,Morus alba,
9/8/2022,R2,Q2,1,Taraxacum officinale,
9/8/2022,R2,Q2,1,Woody debris,
9/8/2022,R2,Q3,4,Bidens frondosa,
9/8/2022,R2,Q3,3,Phytolacca americana,
9/8/2022,R2,Q3,3,Pilea pumila,
9/8/2022,R2,Q3,2,Toxicodendron radicans,
9/8/2022,R2,Q3,2,Morus alba,
9/8/2022,R2,Q3,2,Sicyos angulatus,
9/8/2022,R2,Q3,1,Cryptotaenia canadensis,
9/8/2022,R2,Q3,1,Ulmus americana,
9/8/2022,R2,Q3,1,Woody debris,
9/8/2022,R2,Q4,3,Woody debris,
9/8/2022,R2,Q4,2,Pilea pumila,
9/8/2022,R2,Q4,2,Vitis riparia,
9/8/2022,R2,Q4,2,Ulmus americana,
9/8/2022,R2,Q4,1,Fraxinus pennsylvanica,
9/8/2022,R2,Q4,1,Sicyos angulatus,
9/8/2022,R2,Q4,1,Acer saccharinum,
9/8/2022,R2,Q5,4,Sicyos angulatus,
9/8/2022,R2,Q5,3,Woody debris,
9/8/2022,R2,Q5,2,Laportea canadensis,
9/8/2022,R2,Q5,2,Toxicodendron radicans,
9/8/2022,R2,Q5,1,Pilea pumila,
9/8/2022,R2,Q5,1,Ulmus americana,
9/8/2022,R3,Q1,5,Bidens frondosa,
9/8/2022,R3,Q1,1,Boehmeria cylindrica,
9/8/2022,R3,Q1,1,Toxicodendron radicans,
9/8/2022,R3,Q1,1,Ulmus americana,
9/8/2022,R3,Q1,1,Morus alba,
9/8/2022,R3,Q1,1,Pilea pumila,
9/8/2022,R3,Q1,1,Vitis riparia,
9/8/2022,R3,Q1,1,Woody debris,
9/8/2022,R3,Q1,1,Persicaria punctata,
9/8/2022,R3,Q2,2,Woody debris,
9/8/2022,R3,Q2,1,Toxicodendron radicans,
9/8/2022,R3,Q2,1,Vitis riparia,
9/8/2022,R3,Q2,1,Leersia oryzoides,
9/8/2022,R3,Q2,1,Acer saccharinum,
9/8/2022,R3,Q2,1,Symphyotrichum lanceolatum,
9/8/2022,R3,Q2,1,Persicaria pensylvanica,
9/8/2022,R3,Q2,1,Ulmus americana,
9/8/2022,R3,Q3,4,Woody debris,
9/8/2022,R3,Q3,1,Leersia oryzoides,
9/8/2022,R3,Q3,1,Acer saccharinum,
9/8/2022,R3,Q3,1,Urtica gracilis,
9/8/2022,R3,Q3,1,Boehmeria cylindrica,
9/8/2022,R3,Q3,1,Rumex verticillatus,
